Fellow	Year	Citation
Giuseppe Fabrizio	2016	For contributions to adaptive array signal processing in over-the-horizon radar systems 
Robert Fagaly	2003	For leadership in the development and commercialization of SQUID instrumentation. 
Thomas Fagan	1989	For contributions to, and technical leadership in, the field of reliability engineering. 
Ronald Fagin	1997	For contributions to finite-model theory, and to relational database theory. 
Babak Fahimi	2015	For contributions to modeling and analysis of AC adjustable speed motor drives 
M Fahmy	1990	For contributions to the advancement of research in the area of multidimensional digital signal processing. 
Fariba Fahroo	2018	For contributions to computational optimal control theory 
Yeshaiahu Fainman	2003	For contributions to the use of optical nonlinearities for signal processing. 
Richard Fair	1990	For contributions to the understanding of dopant diffusion in silicon, computer modeling of silicon processes, and developments in electron devices. 
Jerome Faist	2020	For contributions to quantum cascade lasers and infrared QCLs 
Djalma Falcao	2004	For contributions to power system engineering education. 
Charles Falco	2006	For contributions to characterization of magnetic and optical films. 
Herbert Falk	2024	For contributions and leadership in secure, reliable, and interoperable communication of the electric power grid 
Kevin Fall	2009	For contributions to Internet architectures and protocols in challenging environments 
Babak Falsafi	2012	For contributions to multiprocessor architecture and memory systems 
Changxin Fan	1996	For contributions to and leadership in the area of communication engineering education and research. 
Jiyuan Fan	2019	For leadership in applications for power distribution systems 
Shanhui Fan	2011	For contributions to nanophotonics 
Wai-Chi Fang	2003	For contributions to VLSI systems using neural-based methods. 
Da Fang	2003	For contributions to the development of the full-wave discrete complex image method and modified matched layer absorbing boundary conditions. 
Liping Fang	2018	For contributions to multiple participant-multiple objective decision making and decision support systems 
Weileun Fang	2015	For contributions to measurement methods and process technologies for micro-electro-mechanical systems 
Romano Fantacci	2005	For contributions to wireless communication networks. 
MariaPia Fanti	2017	For contributions to modeling and control of discrete event systems 
Luca Fanucci	2019	For the contributions to the design of Very-large-scale integration systems for network-on-chip 
Paolo Faraboschi	2014	For contributions to embedded processor architecture and system-on-chip technology 
Martin Farach-Colton	2022	For contributions to data structures for storage systems 
Lorenzo Faraone	2015	For development of semiconductor optoelectronic materials and devices 
David Farber	1994	For contributions to computer languages, distributed computing and advanced computer communications networking 
Behruz Fardanesh	2013	For contributions to phasor measurement technology and Flexible AC Transmission Systems 
Hany Farid	2018	For contributions to digital forensics 
Alfonso Farina	2000	For development and application of adaptive signal processing methods for radar systems. 
Dario Farina	2018	For contributions to neuromuscular electrophysiology and neurorehabilitation 
J Farmer	2004	For technical leadership in the cable television industry. 
Mukta Farooq	2016	For contributions to 3D integration and interconnect technology 
Jay Farrell	2008	For contributions to intelligent, autonomous vehicle analysis and design 
Patrick Farrell	2002	For contributions to error-correcting codes. 
Sina Farsiu	2020	For contributions to multi-frame super resolution and ophthalmic image processing 
Nariman Farvardin	1998	For contributions to source coding and quantization. 
Masoud Farzaneh	2007	For leadership in the area of ice-covered insulator flashover mechanisms and development of application guidelines 
Patrick Fasang	1988	For contributions in improved testability of VLSI circuit designs. 
Mostafa Fatemi	2012	For contribution to ultrasound radiation force imaging and tissue characterization 
Aly Fathy	2004	For contributions to advanced antenna concepts and implementations 
Philippe Fauchet	2000	For contributions to nanoscale silicon optoelectronics. 
Patrick Fay	2016	For contributions to compound semiconductor tunneling and high-speed device technologies 
Gary Fedder	2008	For contributions to integrated micro-electro-mechanical-system processes and design methodologies 
Orla Feely	2009	For contributions to nonlinear discrete-time circuits and systems 
K Feher	1989	For contributions to digital communications research and for leadership in applied communications engineering education. 
Ephraim Feig	1992	For contributions to the design, analysis, and application of transform algorithms for signal processing 
Joan Feigenbaum	2024	For contributions to trust-management systems and Internet algorithmics 
Barry Feinberg	1991	For contributions to the practice of electrical engineering in medicine. 
Steven Feiner	2018	For contributions to augmented reality and computer graphics 
Leonard Feinstein	1991	For contributions to research and manufacturing practices in the application of thin films in electronics. 
Lyle Feisel	1987	For leadership in and contributions to engineering education. 
Martin Fejer	2008	For contributions to nonlinear optical materials and guided wave optics 
Stuart Feldman	1991	For contributions to software engineering and software configuration management. 
Leonard Feldman	2016	For contributions to semiconductor-dielectric interfaces for MOS technologies 
Peter Feldmann	2000	For contributions to the analysis and simulation of electronic circuits. 
Ernest Feleppa	2015	For contributions to ultrasound imaging medical applications 
Claudia Felser	2016	For contributions to the design and chemical synthesis of new materials with multi-functional properties 
James Feltes	2018	For contributions to modelling the dynamic response of power generation systems 
Hector Fenech	2014	For leadership in the definition of telecommunications satellite architectures and systems through innovation and technological exploitation 
Milton Feng	1992	For contributions to the development of implanted GaAs and InGaAs millimeter-wave MESFET transistors. 
Zhenghe Feng	2012	For contributions to smart antennas and mobile communications, and for leadership in microwave and antenna education 
Junlan Feng	2022	For leadership in spoken dialog applications, AI platform, and network intelligence 
Dan Feng	2024	For contributions to data storage systems 
A Fenster	2013	For contributions to medical Imaging and ultrasound-guided intervention 
Robert Fenton	2000	For contributions to advancement of generator technology and machine design concepts. 
Robert Fenton	1986	For contributions to control systems for automatic control of high-speed highway vehicles. 
Allister Ferguson	2000	For contributions to the understanding and development of solid state and ultrashort pulse lasers and their applications. 
Ian Ferguson	2010	For the development of semiconductor materials and devices for infrared and ultraviolet sensor applications 
Veronique Ferlet-Cavrois	2011	For contributions to understanding of radiation effects on electronic devices 
Antonella Ferrara	2020	For contributions to sliding mode control theory 
Leonard Ferrari	1997	For contributions to signal and image processing, and engineering education. 
Elena Ferrari	2013	For contributions to security and privacy for data and applications 
Caio Ferreira	2000	For contributions to the development of switched reluctance motors and generators applied to advanced electric aircraft. 
Andrea Ferrero	2011	For contributions to microwave vector network analyzer calibration techniques and active load-pull metrology 
Alessandro Ferrero	1999	For the development of measurement techniques for electric power systems. 
Bonnie Ferri	2022	For contributions to hands-on learning and leadership in higher education 
David Ferry	1986	For contributions to the study of carrier transport in semiconductors and the physics of submicron semiconductor devices. 
Jeffrey Fessler	2006	For contributions to theory and practice of image reconstruction. 
Harold Fetterman	1990	For contributions in extending optical technologies into submillimeter and millimeter wave regions. 
Gerhard Fettweis	2009	For contributions to signal processing algorithms and chip implementation architectures for communications 
D Feucht	1978	For contributions to semiconductor heterojunctions research. 
Arie Feuer	2004	For contributions to adaptive control and signal processing. 
Cedric Fevotte	2022	For contributions to nonnegative matrix factorization, source separation, and spectral unmixing 
Gabor Fichtinger	2016	For contributions to medical robotics and computer-assisted intervention 
Slawomir Fiedziuszko	1992	For contributions to the advancement of dielectric resonator filters and multiplexers, especially for satellite applications. 
Mario Figueiredo	2010	For contributions to pattern recognition and computer vision 
Dimitar Filev	2008	For application of soft computing to intelligent systems 
Andrzej Filipkowski	1997	For contributions to engineering education. 
Dejan Filipovic	2019	For contributions to frequency-independent and wideband antennas 
Raymond Filler	2008	For contributions to frequency control and timing in military systems 
R Findlay	1994	For contributions to analysis and measurement of electrical machine characteristics. 
Cynthia Finelli	2021	For leadership and scholarship in engineering education 
Alan Finkel	2015	For contributions to measurement technology for biomedicine 
William Finley	2015	For leadership in global standardization of electric motors and energy conservation 
Paolo Fiorini	2009	For contributions to mobile robot navigation in dynamic environments 
Thomas Fischer	1996	For contributions to the theory and practice of data compression, including trellis coded quantization and pyramid vector quantization. 
Peter Fischer	2014	For contributions to the development and application of high resolution X-ray magnetic imaging 
Normann Fischer	2024	For contributions to fault protection methodologies for electric power grids 
Robert Fish	2019	For application of visual communications and networking 
Michael Fitz	2015	For contributions to the theory and practice of multiple antenna radio 
Tor Fjeldly	2000	For contributions to semiconductor device modeling and the development of AIM spice. 
Patrick Flandrin	2002	For contributions to time-frequency and time-scale analysis of signals and systems 
Franco Flaviis	2014	For contributions to reconfigurable antennas and tunable dielectrics for wireless communication systems 
Daniel Fleetwood	1997	For contributions to the field of electronic devices and materials. 
Harold Flescher	1998	For leadership in the development of radiation hardening technology. 
Dinei Florencio	2016	For contributions to statistical and signal processing approaches to adversarial and security problems 
David Flowers	1993	For contributions to the field of electronic countermeasures. 
H Landis Floyd	2000	For contribution to improve workplace electrical safety 
M Flynn	1980	For outstanding contributions to the field of computer architecture. 
Patrick Flynn	2012	For contributions to biometric identification 
Michael Flynn	2015	For contributions to integrated analog-digital interfaces 
David Fogel	1999	For contributions to the scientific advancement of evolutionary computation. 
Gary Fogel	2012	For contributions to computational intelligence and its application to biology, chemistry, and medicine 
Alessandro Foi	2022	For contributions to image restoration and noise modeling 
James Foley	1986	For contributions to computer graphics. 
Timothy Fong	1986	For contributions to the development of millimeter-wave technology. 
Clifton Fonstad	2005	For leadership in compound semiconductor heterostructure devices. 
Robert Fontana	2007	For contributions to short pulse electromagnetics as applied to ultra wideband systems 
Giles Foody	2013	For contributions to the remote sensing of land cover 
Joseph Ford	2017	For contributions to free space optical imaging and communication technologies 
Gianfranco Fornaro	2017	For contributions to SAR processing in differential interferometry and tomography 
G David Forney	1973	For contributions to the theory and practice of error-correcting codes and data communications 
Stephen Forrest	1991	For contributions to optoelectronics materials and devices research including detectors, receivers, and optoelectronic integrated circuits. 
Stephan Forrest	2015	For contributions to computer security systems based on biological principles 
Jose Fortes	1999	For contributions to the theory and practice of parallel computing. 
Giancarlo Fortino	2022	For contributions to Engineering of IoT-enabled Wearable Computing Systems 
Thomas Fortmann	1990	For technical leadership in automated data analysis and multitarget tracking. 
Luigi Fortuna	2000	For developments in CNN circuits to generate complex dynamics and to control artificial locomotion. 
Eric Fosler-Lussier	2022	For contributions to spoken language technology by integrating linguistic models with machine learning 
Thor Fossen	2016	For contributions to modelling and controlling of marine crafts 
Marc P Fossorier	2006	For contributions to coding and decoding methods. 
Eric Fossum	1998	For contributions to image sensors and on-chip image processing. 
Jerry Fossum	1983	For contributions to the theory and technology of silicon solar cells and transistors. 
Kenneth Foster	1988	For contributions to determining the mechanisms of interactions between electromagnetic fields and biological systems. 
F Stuart Foster	2016	For contributions to the development and commercialization of ultrasound technology 
Ian Foster	2020	For contributions to grid computing and data transport infrastructures 
John Fothergill	2005	For contributions to reliability methodology in the aging processes of electrical insulation systems.. 
Dimitrios Fotiadis	2019	For contributions to modelling and machine learning in biomedical data processing 
Mahmud Fotuhi-Firuzabad	2014	For development of probabilistic techniques in power system reliability evaluation 
Victor Fouad-Hanna	1996	For contributions to the development of advanced numerical techniques for analysis and modeling of passive microwave and millimeter wave circuits. 
Julie Fouquet	2004	For contributions to optical switch and light-emitting device technologies. 
James Fowler	2017	For contributions to lossy source coding and dimensionality reduction of multidimensional data 
Kim Fowler	2014	For contributions to mission-critical and safety-critical systems engineering 
Mark Fox	2019	For contributions to constraint-directed reasoning and ontologies 
Dieter Fox	2015	For contributions to Bayesian state estimation and robotic perception 
Edward Fox	2017	For leadership in digital libraries and information retrieval 
Arthur Foyt	1985	For contributions to ion implantation techniques for semiconductor device fabrication. 
Alexander Fradkov	2004	For contributions to adaptive and nonlinear systems. 
Christina Fragouli	2016	For contributions to network coding 
G Franceschetti	1988	For contributions in the field of electromagnetic theory and antenna design technology. 
Massimo Franceschetti	2018	For contributions to random wireless networks 
Antonio Franchi	2023	For contributions to modelling, design, and control for aerial and distributed robotic systems 
Victorino Franco	2024	For contributions to the study of thermomagnetic phase transitions, soft magnets, and magnetocaloric materials 
Alejandro Frangi	2014	For contributions to medical image analysis and image-based computational physiology 
David Frank	2003	For contributions to solid-state devices and ultra-small CMOS devices. 
H Frank	1978	For contributions to large-scale network design and analysis. 
Randall Frank	2005	For leadership in the application of power semiconductor technology to automotive electronics. 
Edward Frank	2020	For leadership in commercialization of wireless solutions for mobile computing and communications 
Robert L Frank	1964	For contributions to low-frequency navigation systems in the conception, design, and implementation of Loran C 
Steven Franke	2005	For contributions to wave propagation, atmospheric sensing, and to engineering education. 
Michael Frankel	1997	For leadership in the design of command, control and communications systems. 
Aaron Franklin	2024	For contributions to transistor scaling and carbon nanotubes applications in electronics 
L Franks	1977	For contributions to the theory and applications of periodically variable networks and filters. 
Robert Frankston	2011	For contributions to the first electronic spread sheet and home networking 
Leopoldo Franquelo	2005	For contributions to the design of circuits using innovative hardware for industrial applications. 
Gene Frantz	2001	For contributions to the development and appliction of digital signal processing devices. 
Michael Franz	2016	For contributions to just-in-time compilation and to computer security through compiler-generated software diversity 
Douglas Franzen	1998	For contributions to optical fiber characterization procedures. 
Paul Franzon	2006	For contributions to chip-package codesign. 
Luigi Fratta	1998	For contributions to packet switching technology. 
Emilio Frazzoli	2019	For contributions to motion planning and control of autonomous vehicles 
Ernest Freeman	1985	For leadership in developing electromagnetic compatibility models. 
Peter Freeman	1996	For leadership in the definition of software engineering as a scientific and academic discipline. 
Kingsley Fregene	2023	For contributions to the autonomous control of unmanned vehicles 
Patrick French	2016	For contributions to micro-electromechanical devices and systems 
Richard Frenkiel	1988	For contributions to the theory and design of cellular mobile telecommunications. 
William Frensley	2005	For contributions to nanometer-scale quantum semiconductor devices. 
James Freudenberg	2000	For contributions to the theory of inherent design limitations in linear feedback systems. 
Jeffrey Frey	1994	 
Douglas Frey	2005	For contributions in the theory and design of linear and nonlinear circuits and systems. 
B Friedland	1980	For contributions to the application of modern control theory in navigation, guidance, and control systems. 
Benjamin Friedlander	1987	For development of estimation algorithms and lattice forms for adaptive filtering. 
Daniel Friedman	2022	For contributions to RFID and phase-lock-loop systems 
James Friend	2018	For contributions to acoustics, microfluidics and microactuation 
Asher Albert Friesem	1995	For contributions to coherent optics, particularly development of new techniques and procedures in holographics applications. 
Nicholas Frigo	2006	For contributions to optical communications technology and access network architectures. 
Arrigo Frisiani	1995	For achievements and leadership in computer engineering education. 
Robert Frisina	2023	For distinguished contributions in neuroengineering and auditory sciences, especially age-related hearing loss causes and treatments 
Monique Frize	2012	For contributions to clinical engineering and engineering education 
Klaus Froehlich	2002	For contributions to the understanding of high voltage switching phenomena and for the development of new concepta in switching equipment, application and testing 
Eli Fromm	1985	For contributions in biotelemetry, transducers, and bioengineering research. 
Robert Frosch	1969	For outstanding contributions in applying acoustical theory and techniques to practical problems, and in planning and administering research and development programs. 
Victor Frost	1998	For contributions to the simulations, monitoring and control of communication networks. 
Vasilis Fthenakis	2021	For contributions to photovoltaics technology 
Michael Fu	2008	For contributions to stochastic gradient estimation and simulation optimization 
Minyue Fu	2004	For contributions to robust control and signal estimation. 
Li-Chen Fu	2004	For contributions to robotic control and computer-integrated manufacturing systems. 
Shen-Li Fu	2009	For contributions to electronic packaging research and education 
Xiaoming Fu	2022	For contributions to resource management in edge computing and networking 
Yun Fu	2019	For contributions to manifold learning and face and gesture recognition 
W Kent Fuchs	1995	For contributions reliable computing. 
Ewald Fuchs	1990	For contributions to the development of large ac and dc rotating machine design. 
Henry Fuchs	2015	For contributions to computer graphics, virtual and augmented reality 
Claudio Fuerte-Esquivel	2019	For contributions to modeling, analysis and operation of Flexible Alternating Current Transmission Systems 
Daniel Fuhrmann	2010	For contributions to adaptive radar signal processing 
Thomas Fuja	2004	For contributions to error control coding. 
Masakatsu Fujie	2012	For contributions to medical robotics 
Ichiro Fujimori	2014	For contributions to oversampled data converters and gigabit wireline transceivers 
James Fujimoto	1996	For pioneering contributions to ultrafast optics and optical coherence tomography. 
Kyohei Fujimoto	1990	For contributions to the development and design of small antennas and antennas for mobile communications. 
Hiromu Fujioka	2004	For contributions to electron beam testing of semiconductor devices and circuits. 
Hiromichi Fujisawa	2002	For contributions to document understanding including handwritten Chinese character recognition and document retrieval. 
Yoshihiro Fujita	2011	For contributions to imaging systems for high resolution television 
Hideo Fujiwara	1989	For contributions to research and development on testing of large integrated circuits. 
Akira Fujiwara	2018	For contributions to silicon single-electron devices 
Toshio Fukuda	1995	For the development of distributed intelligent robotics and system control with neuron-fuzzy-genetic-algorithms based computational intelligence. 
Shinta Fukui	2005	For contributions to secure power network operation technologies using intelligent systems. 
Keinosuke Fukunaga	1979	For contributions to statistical pattern recognition. 
Yoshitaka Fukuoka	2009	For development of multichip module and high density substrate technologies 
Samuel Fuller	1990	For leadership and contributions to computer architecture design 
Lynn Fuller	1997	For contributions to engineering education. 
Eric Fullerton	2012	For contributions to the synthesis and characterization of magnetic exchange coupled films, superlattices and recording media 
Christophe Fumeaux	2019	For contributions to resonant dielectric-loaded antennas 
Adrian Fung	1985	For advancement and contributions to active and passive bistatic microwave scattering and emission theories for rough sea and terrain. 
Pascale Fung	2015	For contributions to human-machine interactions 
Stephen Furber	2005	For contributions to the microarchitecture of embedded processor cores. 
Thomas Furness	2018	For leadership in virtual and augmented reality 
Cindy Furse	2008	For leadership in electromagnetics education 
Yoji Furuhama	1998	For contributions to and leadership in optical and millimeter-wave propagation research, especially for its application to satellite communications. 
Sadaoki Furui	1993	For contributions to speech analysis, speech recognition, and speaker identification. 
Katsuhisa Furuta	1996	For contributions to digital control theory and its applications to robotics and industrial processes. 
Tohru Furuyama	2006	For contributions to high speed dynamic random access memory (DRAM) design and technologies. 
Vincent Fusco	2004	For contributions to the design of active and self-tracking antenna technology. 
Masaaki Futamoto	2002	For contributions to perpendicular magnetic recording. 
XINBO GAO	2024	For contribution to hybrid augmented intelligence and image quality assessment 
MOUNIR GHOGHO	2018	For contributions to synchronization algorithms for communication systems 
YOLANDA GIL	2021	For contributions to geoscience and scientific discovery with intelligent workflow systems 
SIMON GODSILL	2022	For contributions to statistical signal processing for tracking and audio restoration 
RUYAN GUO	2013	For contributions to understanding of polarization phenomena in ferroelectric solid-solution systems 
RAMESH GUPTA	2007	For contributions to monolithic microwave integrated circuits 
O Gabbard	1993	For contributions to modern high-speed satellite and fiber-optic digital communications. 
Moncef Gabbouj	2011	For contributions to nonlinear signal processing and video communication 
Evgeniy Gabrilovich	2021	For contributions to web information retrieval technology 
Haris Gacanin	2021	For development of operations and management systems for home broadband networks 
Paul Gader	2011	For contributions to computational intelligence algorithms for landmine and explosive object detection 
Alexander Gaeta	2019	For contributions to quantum and nonlinear photonics 
Daniel Gajski	1994	For contributions to VLSI and system level design methodologies and CAD tools. 
Zvi Galani	1993	For leadership in the development of low-noise microwave signal generation techniques for missile and radar systems. 
Vincenzo Galdi	2016	For contributions to modeling the interaction between electromagnetic waves and complex materials 
Mark Gales	2011	For contributions to acoustic modeling for speech recognition 
Robert Gallager	1968	For contributions to information theory and error correcting codes 
William Gallagher	2003	For contributions to the development of oxide-barrier tunnel junctions for superconducting and magnetic device applications. 
Neal Gallagher	1987	For contributions to the theory and application of rank order filtering and computer-generated holography. 
Stefano Galli	2012	For contributions to theory, practice, and standardization of power line communication networks 
Kenneth Galloway	1986	For contributions to the study of radiation effects in microelectronics. 
Ian Galton	2011	For contributions to high-performance mixed-signal integrated circuits using digital calibration techniques 
Joao Gama	2021	For contributions to mining data streams 
O Gandhi	1979	For contributions to the understanding of nonionizing radiation effects, to the development of electron devices, and to engineering education. 
Gregory Ganger	2011	For contributions to metadata integrity in file systems 
Erwin Gangl	2013	For development of digital avionics intra-communication systems and Mil-Std-1553 
Aura Ganz	2008	For contributions to architectures, algorithms, and protocols for high speed communications networks 
Yuqing Gao	2009	For contributions to speech recognition and speech-to-speech translation 
Robert Gao	2008	For contributions to condition monitoring and health diagnosis of machines through sensing methodologies 
Guang Gao	2008	For contributions to architecture and compiler technology of parallel computers 
Xiqi Gao	2015	For contributions to broadband wireless communications and multirate signal processing 
Wen Gao	2009	For contributions to object-based video representation and scalable video coding technologies and standards 
Wenzhong Gao	2021	For contributions to grid integration of wind power and electric vehicle technology 
Kaizhong Gao	2019	For contributions to data storage technologies 
Feifei Gao	2020	For contributions to channel estimation and signal processing for wireless communications 
Huijun Gao	2014	For contributions to the theory and industrial applications of networked control systems 
Zhiwei Gao	2023	For contributions to real-time diagnosis and control of wind turbine systems 
Fei Gao	2023	For contributions to real-time simulation and control techniques for fuel cells and power converters 
Steve Gao	2019	For contributions to low-cost pattern-reconfigurable and broadband printed antennas 
Jianfeng Gao	2019	For contributions to machine learning for Web search and natural language processing 
Heyno Garbe	2006	For contributions to electro magnetic compatibility (EMC) measurement techniques. 
Oscar Garcia	1984	For contributions to arithmetic coding theory and leadership in computer science education. 
Ana Garcia-Armada	2024	For contributions to wireless communications transceivers 
Joaquin Garcia-Luna-Aceves	2006	For contributions to theory and design of communication protocols for network routing and channel access 
Fred Gardiol	1987	For contributions to design of ferrite microwave devices. 
William Gardner	1991	For contributions to the development of time-series analysis and stochastic processes with applications to statistical signal processing and communication, and for contributions to engineering education. 
Donald Gardner	2012	For contributions to integrated circuit interconnects and integrated inductor technology 
Prof.Julian Gardner	2019	For contributions to electronic noses and gas sensors 
Rene Garello	2006	For contributions to signal processing applied to remote sensing of the ocean. 
Simson Garfinkel	2019	For contributions to digital forensics and computer security 
Ramesh Garg	2002	For contributions to microstrip antenna technology. 
Paolo Gargini	2008	For leadership in the globalization and implementation of the technology roadmap for semiconductors 
Jonathan Garibaldi	2021	For contributions to computational intelligence techniques in data analysis and decision support 
Elsa Garmire	1981	For contributions in nonlinear and guided wave optics. 
Minos Garofalakis	2017	For contributions to data streaming analytics 
James Garrison	2023	For contributions to Earth remote sensing using signals of opportunity 
Douglas Garrity	2012	For contributions to analog-to-digital converters for embedded applications 
Thomas Garrity	1989	For leadership in the application and standardization of electric power equipment. 
Philip Garrou	2000	For contributions to thin film packaging, interconnect technology, and the use of polymer dielectrics in microelectronics. 
Alan Garscadden	1997	For contributions to the field of non-equilibrium plasmas and its applications. 
Andrea Garulli	2020	For contributions to set membership identification and robust analysis of uncertain systems 
Albin Gasiewski	2002	For contributions to passive microwave sounding within clouds and precipitation, and passive polarimetric microwave imaging. 
Wanda Gass	2007	For contributions to digital signal processors and circuits 
Michael Gastpar	2017	For contributions to network information theory 
Alan Gatherer	2016	For contributions to systems-on-chip for 3G and 4G cellular systems 
Anne Gattiker	2019	For contributions to integrated circuit test and diagnosis 
Jean-Luc Gaudiot	1999	For contributions to the programmability and reliability of dataflow architectures. 
Gerard Gaynor	1999	For contributions to engineering and technology management. 
Shuzhi Ge	2006	For contributions to theory and analysis of stable adaptive neural networks for intelligent control systems. 
Ibrahim Gedeon	2022	For leadership in consumer-oriented applications of broadband communications 
Ronald Gedney	1993	For leadership in the field of advanced electronics packaging. 
Stephen Gedney	2004	For contributions to computational electromagnetics. 
James Gee	2021	For contributions to medical image processing and analysis 
Johannes Gehrke	2020	For contributions to data mining and data management systems 
Randy Geiger	1990	For contributions to discrete and integrated analog circuit design. 
Arthur Gelb	1976	For contributions to the application of modern control and estimation theory to integrated navigation and guidance systems. 
Erol Gelenbe	1986	For leadership in the development of computer system performance evaluation. 
Clark Gellings	1989	For innovation in contributions to power-system planning, demand-side management, demand forecasting, and electric utility marketing analysis. 
Alexander Gelman	2018	For contributions to technologies for streaming and controlling digital video 
Gerard Genello	2007	For leadership in the management of scientists and engineers 
Hua Geng	2021	For contribution to control of renewable energy power converters 
Alan George	2013	For contributions to reconfigurable and high-performance computing 
Alan George	1993	For contributions to the methods for solving large sparse systems of equations. 
Costas Georghiades	1998	For contributions to the theory of optimum receiver design. 
Apostolos Georgiadis	2022	For contributions to designs of RF energy harvesting circuits 
Tryphon T. Georgiou	2000	For contributions to the theory of robust control. 
Richard Gerber	1997	For contributions to solid-state and applied magnetism. 
Reimund Gerhard	1993	For contributions to the study of dielectric materials and their application in communications devices. 
Guido Gerig	2019	For contributions to medical image processing 
Mario Gerla	2003	For contributions to ad hoc wireless networks. 
Allen Gersho	1982	For contributions to the theory of signal processing in communications. 
Ira Gerson	1998	For contributions to the development of speech coding and recognition technologies. 
Ornan Gerstel	2008	For contributions to optical network architecture and network design 
Peter Gerstoft	2023	For contributions to environmental signal processing and geo-acoustic array processing 
Janos Gertler	1998	For contributions to process monitoring and diagnosis, and to its application in automobile engine diagnosis. 
David Gesbert	2011	For contributions to multi-antenna and multi-user communication theory and their applications 
Lise Getoor	2021	For contributions to machine learning and reasoning under uncertainty 
Michel Gevers	1990	For contributions to the understanding and identification of linear multivariable 
Vahan Gevorgian	2024	For contributions to the wind and solar photovoltaics in grids 
Tobias Geyer	2022	For contributions to control and modulation of high-power converters 
Arif Ghafoor	1999	For contributions to the development of multimedia synchronization models and associated algorithms. 
Abdolreza Ghafurian	2003	For leadership in the mitigation of the environmental impact of fluid-filled transmission cables. 
Reza Ghanadan	2024	For leadership in robust artificial intelligence technologies and applications 
Mohammad Ghanbari	2001	For the pioneering work on layered video coding and continuous contributions to packet video. 
Tahir Ghani	2009	For contributions to deep submicron metal oxide semiconductor transistor development for microprocessors 
Fadhel Ghannouchi	2007	For contributions to advanced microwave amplification circuits and sub-systems 
Elias Ghannoum	2017	 
Hamid Gharavi	1992	For contributions to low bit-rate video coding and research in subband coding for image and video applications. 
Saeed Ghassemzadeh	2013	For contributions to measurement and modeling of broadband wireless channels and their applications to system design 
Carlo Ghezzi	2006	For contributions to software engineering and programming languages. 
Giovanni Ghione	2007	For contributions to numerical physics-based modelling of passive and active integrated microwave components 
Arindam Ghosh	2006	For contributions to education in power electronic applications to transmission and distribution systems. 
Bijoy Ghosh	2000	For fundamental contributions to systems theory with applications to robust control, vision and multisensor fusion. 
Amitava Ghosh	2015	For leadership in cellular communication system standardization 
Monisha Ghosh	2015	For contributions to cognitive radio and signal processing for communication systems 
Maysam Ghovanloo	2019	For contributions to implantable wireless integrated circuits and systems 
Joseph Giachino	1997	For contributions to micro mechanical and microelectro-mechanical control systems. 
Thomas Giallorenzi	1984	For leadership in the development of optical fiber systems for military applications. 
Yogesh Gianchandani	2010	For contributions to silicon-based microactuators and on-chip microplasmas 
Georgios Giannakis	1997	For contributions to system identification and statistical signal processing. 
M Gibbard	2003	For contributions to stabilizer analysis and tuning for power systems. 
Kurt Gibble	2020	For contributions to improving the accuracy of atomic fountain clocks 
Phillip Gibbons	2014	For contributions to parallel computing and databases 
Jerry Gibson	1992	For contributions to the theory and practice of adaptive prediction and speech waveform coding. 
Georges Ge Gielen	2002	For contributions to computer-aided design and design automation of analog and mixed-signal integrated circuits and systems. 
Jacek Gieras	2002	For contributions to the modeling and analysis of linear motors 
Maryellen Giger	2016	For contributions to computer-aided biomedical imaging and diagnosis 
Mazin Gilbert	2012	For contributions to speech recognition, speech synthesis, and spoken language understanding 
Barrie Gilbert	1984	For the discovery of the translinear principle and invention of the translinear multiplier. 
Barry Gilbert	1998	For development of improved electronic packaging for high performance gallium arsenide integrated circuits. 
Juan Gilbert	2023	For leadership in broadening participation in computing and contributions to accessible voting technologies 
C Lee Giles	1997	For contributions to the theory and practice of neural networks. 
Martin Giles	2006	For contributions to technology computer aided design (TCAD) modeling of processes and devices. 
Ronald Gilgenbach	2006	For contributions to high power microwave vacuum-electron devices. 
Hardayal Gill	1995	For contributions to magnetoresistive recording heads for disk file storage and retrieval. 
Marco Gilli	2005	For contributions to stability properties and global dynamic behaviorin cellular nonlinear networks. 
Robert Gilmore	2014	For contributions to high-performance and low-power wireless portable communications devices 
Gary Gimmestad	2005	For contributions to atmospheric remote sensing technology. 
Fulvio Gini	2007	For contributions to optimal radar signal processing techniques 
Maria Gini	2018	For contributions to multi-agent programming in robotics 
Georgios Ginis	2013	For contributions to transmission optimization in digital subscriber loops 
Joseph Giordmaine	1978	For pioneering contributions to linear optics. 
Patrick Girard	2015	For contributions to power-aware testing of VLSI circuits 
Antoine Girard	2024	For contributions to formal verification and synthesis of cyber-physical systems 
Theo Giras	1995	For contributions to digital power system management and industrial process control. 
Ramsis Girgis	1993	For contributions to reductions in the lossers of large power transformers. 
Jay Giri	2002	For contributions to the design and implementation of power system control centers. 
Dave Giri	2008	For contributions to intense electromagnetic environments interacting with complex electronic systems 
Bernd Girod	1998	For contributions to the theory and practice of video communication. 
R Gitlin	1986	For contributions to data communication techniques. 
Steven Gitomer	1992	For leadership in the field of plasma science and the modeling of laser-produced plasmas. 
Alessandro Giua	2017	For contributions to discrete event and hybrid systems 
Concetto Giuliano	1990	For contributions to the understanding of nonlinear optics, phase conjugation, saturable absorption, and laser-induced damage. 
Dimitris Gizopoulos	2013	For contributions to self-testing and on-line error detection of microprocessor architectures 
