Fellow,Year,Country,University,Citation
Ivan Djordjevic,2020,United States,University of Arizona,For contributions to physical-layer optical communications 
Octavia Dobre,2020,Canada,Memorial University of Newfoundland,For contributions to the theory and practice of signal intelligence and emerging wireless technologies 
Edward Dobrowolski,2015,United States,North American Electric Reliability Corporation,For leadership in interactive control center technology 
Shlomi Dolev,2020,Israel,Ben-Gurion University of the Negev,For contributions to distributed computing and self-stabilization 
Aaron Dollar,2023,United States,Yale University,For contributions to dexterous grasping and manipulation 
David Doman,2016,United States,Air Force Research Laboratory,For contributions to flight dynamics and control 
Antun Domic,2019,United States,Cadence Design Systems,For technical leadership in the integrated circuits design automation 
Alejandro Dominguez-Garcia,2023,United States,University of Illinois at Urbana-Champaign,For contributions to distributed control and uncertainty analysis of electrical energy systems 
Zhaoyang Dong,2017,Australia,University of New South Wales,For contributions to development of computational methods for power system stability and planning 
Xinzhou Dong,2017,China,Shanghai Jiao Tong University,For contributions to traveling wave-based transmission line protection and fault location 
Min Dong,2024,Canada,Ontario Tech University,For contribution to transmission design and resource optimization for wireless communications 
Po Dong,2018,China,Tsinghua University,For contributions to silicon-based photonic devices and integrated circuits 
Dov Dori,2017,Israel,Technion - Israel Institute of Technology,For contributions to model-based systems engineering and document analysis recognition 
David Dorrell,2019,Australia,University of the Witwatersrand,For contributions to time efficient design methodology of rotating electrical machines 
Mariagrazia Dotoli,2024,Italy,Politecnico di Bari,For contributions to control of logistics systems in smart cities 
Frederick Douglis,2017,United States,AT&T Labs,For contributions to computer systems resource utilization and efficiency 
Pier Luigi Dragotti,2017,United Kingdom,Imperial College London,For contributions to sparse signal representation and sampling theory 
Rolf Drechsler,2015,Germany,University of Bremen,For contributions to test and verification of electronic circuits and systems 
Falko Dressler,2017,Germany,TU Berlin,For contributions to adaptive and self-organizing communication protocols in sensor and vehicular networks 
R Droopad,2016,United States,Texas State University,For contributions to epitaxial growth of advanced materials for RF and CMOS applications 
Guang Duan,2017,China,Xidian University,For contributions to parametric control system design and applications 
Frederic Dufaux,2016,France,CNRS / Télécom Paris,For contributions to visual information processing and coding 
Alistair Duffy,2015,United Kingdom,De Montfort University,For development of validation methods in computational electromagnetics 
Donald Dunn,2022,USA,University of Colorado Boulder,For contributions to process control systems 
Gregory Durgin,2024,United States,Georgia Institute of Technology,For contributions to the theory of fading in multi-antenna RFID systems 
Robert Durham,2019,USA,Duke Energy,For contributions to submersible electrical equipment analysis and multi-point ground methods in hazardous petroleum and chemical environments 
Schahram Dustdar,2016,Austria,TU Wien,For contributions to elastic computing for cloud applications 
Ashutosh Dutta,2020,United States,Johns Hopkins University,For leadership in mobility management and security monitoring in mobile networks 
Sandhya Dwarkadas,2017,United States,University of Virginia,For contributions to shared memory and reconfigurability 
DANIEL ELLIS,2018,United States,University of Colorado Boulder,"For contributions to speech, audio, and music processing "
Touradj Ebrahimi,2020,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to visual information representation and assessment of quality of experience in multimedia 
Alan Edelman,2018,USA,Massachusetts Institute of Technology,For contributions to the development of technical-computing languages 
Lieven Eeckhout,2018,Belgium,Ghent University,For contributions in computer architecture performance analysis and modeling 
Frank Effenberger,2015,USA,Huawei Technologies USA,For contributions to passive optical networking standards and technology 
Rudolf Eigenmann,2020,USA,University of Delaware,For contributions to compilers for high-performance computing 
Michael Eineder,2016,Germany,Technical University of Munich,For contributions to synthetic aperture radar image processing for geodesy 
Janaka Ekanayake,2017,United Kingdom,University of Aberdeen,For contributions to education in renewable energy integration and smart grid 
Carl Ekdahl,2015,USA,Los Alamos National Laboratory,For contributions to high-power accelerator development and the generation and transport of electron beams for flash-radiography 
Eylem Ekici,2017,USA,Ohio State University,"For contributions to algorithms, protocols, and architectures of multi-hop wireless networks "
Georges El Fakhri,2016,USA,Harvard University,For contributions to biological imaging 
Mohamed El Moursi,2024,Canada,University of Alberta,For contributions to renewable energy integration and hybrid power grids 
Tarek El-Bawab,2022,United States,Jackson State University,"For contributions to the definition, recognition, accreditation criteria, and program development of modern network-engineering education "
Ayman El-Baz,2023,United States,University of Louisville,For contributions to artificial intelligence in medicine 
Issam El-Naqa,2021,United States,University of Michigan,For contributions to machine learning applications in medicine and imaging 
Ehab El-Saadany,2018,Canada,University of Waterloo,"For contributions to distributed generation planning, operation and control "
Randy Ellis,2015,Canada,Queen's University,For contributions to image guided surgical technology 
Jaafar M.H. Elmirghani,2021,United Kingdom,University of Leeds,For contributions to energy-efficient communications 
Niklas Elmqvist,2024,United States,"University of Maryland, College Park","For contributions to mobile, ubiquitous, and immersive technologies for data visualization "
Stanislav Emelianov,2020,United States,Georgia Institute of Technology,For contributions to ultrasound elasticity and photoacoustic imaging 
Rudy Emrick,2021,United States,University of Texas at Austin,For contributions to the development of millimeter-wave communication systems 
Kevin Englehart,2024,Canada,University of New Brunswick,For contributions to myoelectric signal processing in rehabilitation engineering 
Dirk Englund,2024,USA,Massachusetts Institute of Technology,For contributions to semiconductor quantum photonics and machine learning 
Natalie EnrightJerger,2021,Canada,University of Toronto,For contributions to networks-on-chip for many-core architectures 
Dara Entekhabi,2015,USA,Massachusetts Institute of Technology,For contributions to microwave remote sensing of soil moisture 
Christian Enz,2019,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to low-power analog circuit design 
Meng Hwa Er,2019,Singapore,Nanyang Technological University,For contributions to electronic engineering education 
Michael Ernst,2021,USA,University of Washington,"For contributions to software analysis, testing, and verification "
Danilo Erricolo,2016,USA,University of Illinois at Chicago,For contributions to electromagnetic scattering and associated computational algorithms 
R Scott Erwin,2022,USA,Air Force Research Laboratory,"For leadership and contributions to the development, implementation and on-orbit demonstration of spacecraft control technologies "
Azim Eskandarian,2024,USA,Virginia Tech,For contributions to communication and control of intelligent autonomous vehicles 
Carol Espy-Wilson,2022,USA,University of Maryland,For contributions to speech enhancement and recognition 
Karu Esselle,2016,Australia,University of Technology Sydney,For contributions to resonance-based antennas 
Pablo Estevez,2017,Chile,University of Chile,For contributions to feature selection and visualization of large data sets 
Mauro Ettorre,2023,Italy,University of Bologna,For contributions to large antenna arrays based on quasi-optical beam formers 
Matthew Ettus,2024,USA,Ettus Research (NI),For contributions to software-defined radio products 
Joseph Evans,2019,USA,University of Kansas,For contributions to cognitive networks and deployment of defense networks 
John Evans,2023,Australia,Curtin University,For contributions to electronics parts and assemblies for space systems 
Giuseppe Fabrizio,2016,Australia,University of New South Wales,For contributions to adaptive array signal processing in over-the-horizon radar systems 
Babak Fahimi,2015,USA,University of Texas at Dallas,For contributions to modeling and analysis of AC adjustable speed motor drives 
Fariba Fahroo,2018,USA,Air Force Office of Scientific Research,For contributions to computational optimal control theory 
Jerome Faist,2020,Switzerland,ETH Zurich,For contributions to quantum cascade lasers and infrared QCLs 
Herbert Falk,2024,Germany,"SISCO (Systems Integration Specialists Company, Inc.)","For contributions and leadership in secure, reliable, and interoperable communication of the electric power grid "
Jiyuan Fan,2019,China,Shanghai Jiao Tong University,For leadership in applications for power distribution systems 
Liping Fang,2018,Canada,Ryerson University,For contributions to multiple participant-multiple objective decision making and decision support systems 
Weileun Fang,2015,Taiwan,National Tsing Hua University,For contributions to measurement methods and process technologies for micro-electro-mechanical systems 
MariaPia Fanti,2017,Italy,Polytechnic University of Bari,For contributions to modeling and control of discrete event systems 
Luca Fanucci,2019,Italy,University of Pisa,For the contributions to the design of Very-large-scale integration systems for network-on-chip 
Martin Farach-Colton,2022,United States,Rutgers University,For contributions to data structures for storage systems 
Lorenzo Faraone,2015,Australia,University of Western Australia,For development of semiconductor optoelectronic materials and devices 
Hany Farid,2018,United States,"University of California, Berkeley",For contributions to digital forensics 
Dario Farina,2018,United Kingdom,Imperial College London,For contributions to neuromuscular electrophysiology and neurorehabilitation 
Mukta Farooq,2016,United States,IBM,For contributions to 3D integration and interconnect technology 
Sina Farsiu,2020,United States,Duke University,For contributions to multi-frame super resolution and ophthalmic image processing 
Patrick Fay,2016,United States,University of Notre Dame,For contributions to compound semiconductor tunneling and high-speed device technologies 
Joan Feigenbaum,2024,United States,Yale University,For contributions to trust-management systems and Internet algorithmics 
Steven Feiner,2018,United States,Columbia University,For contributions to augmented reality and computer graphics 
Leonard Feldman,2016,United States,Rutgers University,For contributions to semiconductor-dielectric interfaces for MOS technologies 
Ernest Feleppa,2015,United States,Riverside Research Institute,For contributions to ultrasound imaging medical applications 
Claudia Felser,2016,Germany,Max Planck Institute for Chemical Physics of Solids,For contributions to the design and chemical synthesis of new materials with multi-functional properties 
James Feltes,2018,United States,Siemens,For contributions to modelling the dynamic response of power generation systems 
Junlan Feng,2022,China,Shanghai Jiao Tong University,"For leadership in spoken dialog applications, AI platform, and network intelligence "
Dan Feng,2024,China,Huazhong University of Science and Technology,For contributions to data storage systems 
Antonella Ferrara,2020,Italy,University of Pavia,For contributions to sliding mode control theory 
Bonnie Ferri,2022,United States,Georgia Institute of Technology,For contributions to hands-on learning and leadership in higher education 
Cedric Fevotte,2022,France,"CNRS / IRIT, Université de Toulouse","For contributions to nonnegative matrix factorization, source separation, and spectral unmixing "
Gabor Fichtinger,2016,Canada,Queen's University,For contributions to medical robotics and computer-assisted intervention 
Dejan Filipovic,2019,United States,University of Colorado Boulder,For contributions to frequency-independent and wideband antennas 
Cynthia Finelli,2021,United States,University of Michigan,For leadership and scholarship in engineering education 
Alan Finkel,2015,Australia,Monash University,For contributions to measurement technology for biomedicine 
William Finley,2015,United States,Duke University,For leadership in global standardization of electric motors and energy conservation 
Normann Fischer,2024,South Africa,University of Cape Town,For contributions to fault protection methodologies for electric power grids 
Robert Fish,2019,USA,Princeton University,For application of visual communications and networking 
Michael Fitz,2015,USA,"University of California, Los Angeles",For contributions to the theory and practice of multiple antenna radio 
Dinei Florencio,2016,USA,Microsoft Research,For contributions to statistical and signal processing approaches to adversarial and security problems 
Michael Flynn,2015,USA,Stanford University,For contributions to integrated analog-digital interfaces 
Alessandro Foi,2022,Finland,Tampere University,For contributions to image restoration and noise modeling 
Joseph Ford,2017,USA,"University of California, San Diego",For contributions to free space optical imaging and communication technologies 
Gianfranco Fornaro,2017,Italy,National Research Council of Italy (CNR),For contributions to SAR processing in differential interferometry and tomography 
Stephan Forrest,2015,USA,University of Michigan,For contributions to computer security systems based on biological principles 
Giancarlo Fortino,2022,Italy,University of Calabria,For contributions to Engineering of IoT-enabled Wearable Computing Systems 
Eric Fosler-Lussier,2022,USA,Ohio State University,For contributions to spoken language technology by integrating linguistic models with machine learning 
Thor Fossen,2016,Norway,Norwegian University of Science and Technology,For contributions to modelling and controlling of marine crafts 
F Stuart Foster,2016,Canada,University of Toronto,For contributions to the development and commercialization of ultrasound technology 
Ian Foster,2020,USA,University of Chicago,For contributions to grid computing and data transport infrastructures 
Dimitrios Fotiadis,2019,Greece,University of Ioannina,For contributions to modelling and machine learning in biomedical data processing 
James Fowler,2017,USA,"University of California, San Diego",For contributions to lossy source coding and dimensionality reduction of multidimensional data 
Mark Fox,2019,Canada,University of Toronto,For contributions to constraint-directed reasoning and ontologies 
Dieter Fox,2015,USA,University of Washington,For contributions to Bayesian state estimation and robotic perception 
Edward Fox,2017,USA,Virginia Tech,For leadership in digital libraries and information retrieval 
Christina Fragouli,2016,USA,"University of California, Los Angeles",For contributions to network coding 
Massimo Franceschetti,2018,United States,"University of California, San Diego",For contributions to random wireless networks 
Antonio Franchi,2023,France,LAAS-CNRS,"For contributions to modelling, design, and control for aerial and distributed robotic systems "
Victorino Franco,2024,Spain,University of Seville,"For contributions to the study of thermomagnetic phase transitions, soft magnets, and magnetocaloric materials "
Edward Frank,2020,United States,Carnegie Mellon University,For leadership in commercialization of wireless solutions for mobile computing and communications 
Aaron Franklin,2024,United States,Duke University,For contributions to transistor scaling and carbon nanotubes applications in electronics 
Michael Franz,2016,United States,"University of California, Irvine",For contributions to just-in-time compilation and to computer security through compiler-generated software diversity 
Emilio Frazzoli,2019,Switzerland,ETH Zurich,For contributions to motion planning and control of autonomous vehicles 
Kingsley Fregene,2023,United States,"AeroVironment, Inc.",For contributions to the autonomous control of unmanned vehicles 
Patrick French,2016,United States,Delft University of Technology,For contributions to micro-electromechanical devices and systems 
Daniel Friedman,2022,United States,Yale University,For contributions to RFID and phase-lock-loop systems 
James Friend,2018,United States,"University of California, San Diego","For contributions to acoustics, microfluidics and microactuation "
Robert Frisina,2023,United States,University of South Florida,"For distinguished contributions in neuroengineering and auditory sciences, especially age-related hearing loss causes and treatments "
Vasilis Fthenakis,2021,United States,Columbia University,For contributions to photovoltaics technology 
Xiaoming Fu,2022,Germany,University of Göttingen,For contributions to resource management in edge computing and networking 
Yun Fu,2019,United States,Northeastern University,For contributions to manifold learning and face and gesture recognition 
Henry Fuchs,2015,United States,University of North Carolina at Chapel Hill,"For contributions to computer graphics, virtual and augmented reality "
Claudio Fuerte-Esquivel,2019,Mexico,Universidad Michoacana de San Nicolás de Hidalgo,"For contributions to modeling, analysis and operation of Flexible Alternating Current Transmission Systems "
Akira Fujiwara,2018,Japan,National Institute of Advanced Industrial Science and Technology (AIST),For contributions to silicon single-electron devices 
Christophe Fumeaux,2019,Australia,University of Adelaide,For contributions to resonant dielectric-loaded antennas 
Pascale Fung,2015,Hong Kong,Hong Kong University of Science and Technology,For contributions to human-machine interactions 
Thomas Furness,2018,United States,University of Washington,For leadership in virtual and augmented reality 
XINBO GAO,2024,China,Chongqing University of Posts and Telecommunications,For contribution to hybrid augmented intelligence and image quality assessment 
MOUNIR GHOGHO,2018,Morocco,International University of Rabat,For contributions to synchronization algorithms for communication systems 
YOLANDA GIL,2021,United States,University of Southern California,For contributions to geoscience and scientific discovery with intelligent workflow systems 
SIMON GODSILL,2022,United Kingdom,University of Cambridge,For contributions to statistical signal processing for tracking and audio restoration 
Evgeniy Gabrilovich,2021,United States,Google Research,For contributions to web information retrieval technology 
Haris Gacanin,2021,Netherlands,Eindhoven University of Technology,For development of operations and management systems for home broadband networks 
Alexander Gaeta,2019,United States,Columbia University,For contributions to quantum and nonlinear photonics 
Vincenzo Galdi,2016,Italy,University of Sannio,For contributions to modeling the interaction between electromagnetic waves and complex materials 
Joao Gama,2021,Portugal,University of Porto,For contributions to mining data streams 
Xiqi Gao,2015,China,Southeast University,For contributions to broadband wireless communications and multirate signal processing 
Wenzhong Gao,2021,USA,University of Denver,For contributions to grid integration of wind power and electric vehicle technology 
Kaizhong Gao,2019,China,Peking University,For contributions to data storage technologies 
Feifei Gao,2020,China,Tsinghua University,For contributions to channel estimation and signal processing for wireless communications 
Zhiwei Gao,2023,UK,University of Sheffield,For contributions to real-time diagnosis and control of wind turbine systems 
Fei Gao,2023,France,Université de Technologie de Belfort-Montbéliard,For contributions to real-time simulation and control techniques for fuel cells and power converters 
Steve Gao,2019,UK,Kent University,For contributions to low-cost pattern-reconfigurable and broadband printed antennas 
Jianfeng Gao,2019,USA,Microsoft Research,For contributions to machine learning for Web search and natural language processing 
Ana Garcia-Armada,2024,Spain,Universidad Carlos III de Madrid,For contributions to wireless communications transceivers 
Prof.Julian Gardner,2019,UK,University of Warwick,For contributions to electronic noses and gas sensors 
Simson Garfinkel,2019,United States,Naval Postgraduate School,For contributions to digital forensics and computer security 
Jonathan Garibaldi,2021,United Kingdom,University of Nottingham,For contributions to computational intelligence techniques in data analysis and decision support 
Minos Garofalakis,2017,Greece,Technical University of Crete,For contributions to data streaming analytics 
James Garrison,2023,United States,Purdue University,For contributions to Earth remote sensing using signals of opportunity 
Andrea Garulli,2020,Italy,University of Siena,For contributions to set membership identification and robust analysis of uncertain systems 
Michael Gastpar,2017,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to network information theory 
Alan Gatherer,2016,United States,University of Texas at Dallas,For contributions to systems-on-chip for 3G and 4G cellular systems 
Anne Gattiker,2019,United States,IBM Research,For contributions to integrated circuit test and diagnosis 
Ibrahim Gedeon,2022,Canada,Nortel Networks / TELUS,For leadership in consumer-oriented applications of broadband communications 
James Gee,2021,United States,Arizona State University,For contributions to medical image processing and analysis 
Johannes Gehrke,2020,United States,Cornell University,For contributions to data mining and data management systems 
Alexander Gelman,2018,United States,Columbia University,For contributions to technologies for streaming and controlling digital video 
Hua Geng,2021,China,Tsinghua University,For contribution to control of renewable energy power converters 
Apostolos Georgiadis,2022,Spain,CTTC (Centre Tecnològic de Telecomunicacions de Catalunya),For contributions to designs of RF energy harvesting circuits 
Guido Gerig,2019,United States,New York University,For contributions to medical image processing 
Peter Gerstoft,2023,United States,"University of California, San Diego",For contributions to environmental signal processing and geo-acoustic array processing 
Lise Getoor,2021,United States,"University of California, Santa Cruz",For contributions to machine learning and reasoning under uncertainty 
Vahan Gevorgian,2024,United States,National Renewable Energy Laboratory,For contributions to the wind and solar photovoltaics in grids 
Tobias Geyer,2022,Switzerland,ETH Zurich,For contributions to control and modulation of high-power converters 
Reza Ghanadan,2024,United States,DARPA,For leadership in robust artificial intelligence technologies and applications 
Elias Ghannoum,2017,,, 
Amitava Ghosh,2015,United States,Nokia Bell Labs,For leadership in cellular communication system standardization 
Monisha Ghosh,2015,United States,University of Notre Dame,For contributions to cognitive radio and signal processing for communication systems 
Maysam Ghovanloo,2019,United States,Georgia Institute of Technology,For contributions to implantable wireless integrated circuits and systems 
Kurt Gibble,2020,United States,Pennsylvania State University,For contributions to improving the accuracy of atomic fountain clocks 
Maryellen Giger,2016,United States,University of Chicago,For contributions to computer-aided biomedical imaging and diagnosis 
Juan Gilbert,2023,United States,University of Florida,For leadership in broadening participation in computing and contributions to accessible voting technologies 
Maria Gini,2018,United States,University of Minnesota,For contributions to multi-agent programming in robotics 
Patrick Girard,2015,France,"LIRMM, University of Montpellier",For contributions to power-aware testing of VLSI circuits 
Antoine Girard,2024,France,Université Grenoble Alpes,For contributions to formal verification and synthesis of cyber-physical systems 
Alessandro Giua,2017,Italy,University of Cagliari,For contributions to discrete event and hybrid systems 
Sonja Glavaski,2020,United States,ARPA-E,For leadership in energy systems 
Edward Godshalk,2020,United States,University of Florida,For development of microwave on-wafer probing and measurement techniques 
Nada Golmie,2022,United States,National Institute of Standards and Technology,For contributions to wireless technologies and standards 
Sergiu Goma,2024,United States,InterDigital,For contributions to hardware implementation of image processing for color cameras in mobile phones 
Fernando Gomide,2016,Brazil,University of Campinas,For contributions to fuzzy systems 
Oriol Gomis Bellmunt,2021,Spain,Polytechnic University of Catalonia,For contributions to grid integration of renewable energy sources 
Yifan Gong,2021,United States,Apple Inc.,For leadership in creating cloud speech recognition services in industry 
Maoguo Gong,2024,China,Xidian University,For contributions to collaborative learning and optimization 
Yihong Gong,2018,China,Xidian University,For contributions to pattern recognition and multimedia content analysis 
Hoay Gooi,2023,Singapore,Nanyang Technological University,For contributions to energy storage in microgrids 
Nachappa Gopalsami,2015,United States,Argonne National Laboratory,"For contributions to millimeter-wave spectroscopy, imaging, and reflectometry "
Neil Gordon,2024,Australia,Defence Science and Technology Group,For contributions to sequential Monte Carlo methods and applications 
Harald Gossner,2023,Germany,Infineon Technologies,For contributions to ESD design of advanced IC devices and high speed systems 
Manimaran Govindarasu,2015,United States,Iowa State University,For contributions to security of power grids 
Deepak Goyal,2021,United States,Intel Corporation,For contributions to fault isolation and failure analysis 
Amit Goyal,2021,United States,University at Buffalo,For contributions to high-temperature superconducting materials 
David Gracias,2021,United States,Johns Hopkins University,For contributions to three-dimensional assembly and origami engineering of nanostructured materials and devices 
Tibor Grasser,2016,Austria,TU Wien,For contributions to modeling the reliability of semiconductor devices 
Anthony Grbic,2016,United States,University of Michigan,For contributions to the theory and design of electromagnetic metamaterials 
Timothy Green,2019,United States,University of Southern California,For contributions to power electronics for power systems control 
Robert Greenberg,2019,United States,"University of California, Berkeley",For the invention and development of the retinal prosthesis for the blind 
Robert Gresham,2015,United States,NASA Johnson Space Center,For technical leadership in commercial automotive radar sensors 
Stefano Grivet-Talocia,2018,Italy,Politecnico di Torino,For contributions to passive macromodeling for signal and power integrity 
Julie Grollier,2023,France,CNRS/Thales,For contributions to the use of spintronic devices for neuromorphic computing 
Warren Gross,2024,Canada,McGill University,For contributions to the design of algorithms and integrated circuit architectures for communication systems 
Matthias Grossglauser,2021,Switzerland,École Polytechnique Fédérale de Lausanne (EPFL),For contributions to the modeling and  analysis of network traffic and data 
Guofei Gu,2020,United States,Texas A&M University,For contributions to malware detection and security of next generation networks 
Tao Gu,2024,Australia,RMIT University,For contributions to mobile and wireless sensing systems 
Min Gu,2015,Australia,RMIT University,"For contributions to multiphoton microscopy, endoscopy, and optical data storage "
Cuntai Guan,2018,Singapore,Nanyang Technological University,For contributions to brain-computer interfaces and applications 
Xinping Guan,2018,China,Shanghai Jiao Tong University,For contributions to stability analysis for time-delay fuzzy systems and intelligent control of nonlinear systems 
Yongpei Guan,2021,USA,University of Florida,For contributions to robust and stochastic optimization for power system operations 
Debatosh Guha,2017,India,University of Calcutta,For contributions to microstrip and wideband dielectric resonator antennas 
Guan Gui,2024,China,Nanjing University of Posts and Telecommunications,For contributions to intelligent signal analysis and wireless resource optimization 
Albert Guillen I Fabregas,2022,Spain,Universitat Pompeu Fabra,For contributions to the analysis and design of wireless communication systems 
Anthony Guiseppi-Elie,2016,USA,Texas A&M University,For contributions to organic electronic materials in biotechnology and biomedicine 
S Gunasekaran,2015,USA,University of Wisconsin-Madison,For contributions to high-performance computer vision algorithms for airborne applications 
Deniz Gunduz,2022,UK,Imperial College London,"For contributions to the foundations of source-channel coding, cooperative and cache-aided communications "
Shuxiang Guo,2021,Japan,Kagawa University,For contributions to medical robots for minimally invasive surgery and biomimetic underwater robots 
Dongning Guo,2021,USA,Northwestern University,For contributions to multi-user detection and estimation theory 
Yongxin Guo,2018,Singapore,National University of Singapore,For contributions to wideband printed antennas 
Minyi Guo,2018,China,Shanghai Jiao Tong University,For contributions to performance optimization and resource management of parallel and distributed systems 
Song Guo,2020,Hong Kong,The Hong Kong Polytechnic University,For contributions to high performance and resilient distributed computing 
Lei Guo,2023,China,Chinese Academy of Sciences,For contributions to composite anti-disturbance control systems 
Qinglai Guo,2024,China,Chinese Academy of Sciences,For contributions to system-wide voltage control in power systems 
Yike Guo,2023,UK,Imperial College London,For contributions to data mining and its applications 
Yifan Guo,2020,China,Tsinghua University,For leadership in interconnect technologies for electronics packaging and reliability analysis 
D Gupta,2015,,,For contributions to superconductor digital radio-frequency receivers 
Amar Gupta,2023,USA,Massachusetts Institute of Technology,For contributions to banking transactions and healthcare practice 
Mool Gupta,2020,United States,University of Virginia,For contibutions to laser material interactions 
Satyandra Gupta,2020,United States,University of Southern California,For contributions to the development of decision making tools for manufacturing automation 
Bhuvaneswari Gurumoorthy,2017,India,Indian Institute of Science,For contributions to design and development of enhanced power quality converters 
Dan Gusfield,2015,United States,"University of California, Davis",For contributions to combinatorial optimization and computational biology 
Oleg Gusikhin,2024,United States,University of Michigan,For contributions to applications of cyber-physical systems in automotive engineering and connected vehicles 
Augusto Gutierrez-Aitken,2019,United States,Northrop Grumman Corporation,For contributions to compound semiconductor devices and heterogeneous microelectronics for space applications 
Edmundo Gutierrez-D,2022,Mexico,"Instituto Nacional de Astrofísica, Óptica y Electrónica (INAOE)",For contributions to education and infrastructure in the field of electron devices in Latin America 
Ismail Guvenc,2021,United States,North Carolina State University,For contributions to heterogeneous wireless networks and wireless localization 
SAMAN HALGAMUGE,2017,Australia,University of Melbourne,For contributions to computational intelligence in bioinformatics and mechatronics 
JINGHAN HE,2020,China,Huazhong University of Science and Technology,For contributions to the protection of substations and traction power 
PAYAM HEYDARI,2017,United States,"University of California, Irvine",For contributions to silicon-based millimeter-wave integrated circuits and systems 
XIAOSONG HU,2024,China,Chongqing University,For contributions to battery management algorithms and electric vehicle optimization 
Jung-Ik Ha,2018,South Korea,Seoul National University,For contribution to sensorless control of AC drives 
Martin Haardt,2018,Germany,Technische Universität Ilmenau,For contributions to multi-user MIMO communications and tensor-based signal processing 
Harald Haas,2018,United Kingdom,University of Strathclyde,For leadership in the design of visible light and wireless communication systems 
Jonathan Hacker,2015,United States,Ciena Corporation,For contributions to terahertz integrated circuits and devices 
Christoforos Hadjicostis,2020,Cyprus,University of Cyprus,For contributions to distributed and discrete event systems 
Reinhold Haeb-Umbach,2020,Germany,Paderborn University,For contributions to robustness of automatic speech recognition 
Karen Haigh,2023,United States,Carnegie Mellon University,For contributions to closed-loop control of embedded systems 
Paul Hale,2015,United States,National Institute of Standards and Technology,For contributions to metrology of high-speed electronic and optoelectronic devices 
Thomas Hall,2024,United States,University of Florida,For leadership in engineering technology education 
Mary Hall,2020,USA,University of Utah,For contributions to compiler optimization and performance tuning 
Dan Halperin,2015,Israel,Tel Aviv University,For contributions to robust geometric algorithms for robotics and automation 
Donhee Ham,2023,USA,Harvard University,For contributions to semiconductor electronic interfaces with biological systems 
Guangjie Han,2023,China,Hohai University,For contributions to Internet of Underwater Things and Industrial Internet of Things 
Qing-Long Han,2019,Australia,Swinburne University of Technology,For contributions to control and filtering of networked systems 
Peter Hancock,2017,UK,University of Stirling,For contributions to adaptive human-systems engineering 
Edwin Hancock,2016,UK,University of York,For contributions to pattern recognition and computer vision 
Uwe Hanebeck,2017,Germany,Karlsruhe Institute of Technology,For contributions to nonlinear estimation and control 
Alan Hanjalic,2016,Netherlands,Delft University of Technology,For contributions to multimedia information retrieval 
Pavan Kumar Hanumolu,2020,United States,University of Illinois Urbana-Champaign,For contributions to the design of mixed-signal integrated circuits 
Zenichiro Hara,2023,Japan,Nagoya University,For contribution to Large-Scale Color Display systems and practical realization 
Kensuke Harada,2023,Japan,Osaka University,For contributions to whole-body manipulation for biped humanoid robots 
K.V.S. Hari,2015,India,Indian Institute of Science,For contributions to high-resolution signal parameter estimation 
John Harley,2020,Canada,University of Calgary,For development of monitoring and pump bearing systems for power transformers 
Lennart Harnefors,2017,Sweden,KTH Royal Institute of Technology,For contributions to control and dynamic analysis of power electronic systems 
David Hart,2023,USA,Oregon State University,For contribution to the development of the smart grid 
Mark Hasegawa-Johnson,2020,United States,University of Illinois Urbana-Champaign,For contributions to speech processing of under-resourced languages 
Ahmed Hassan,2019,Canada,Queen's University,For contributions to the quality assurance of large-scale software systems 
Dimitrios Hatzinakos,2016,Canada,University of Toronto,"For contributions to signal processing techniques for communications, multimedia and biometrics "
Aaron Hawkins,2016,USA,Brigham Young University,For contributions to optofluidics 
Masahito Hayashi,2017,Japan,Nagoya University,"For contributions to Shannon theory, information-theoretic security, and quantum information theory "
George Hayhoe,2016,USA,Mercer University,For contributions to professional and technical communication 
Chen He,2023,China,Huazhong University of Science and Technology,For contributions to test of automotive microcontrollers and microprocessors 
Xiaodong He,2019,USA,JD.com (formerly Microsoft Research),For contributions to multimodal signal processing in human language and vision technologies 
Qi He,2024,USA,LinkedIn,For contributions to knowledge engineering and business applications 
Larry Heck,2016,USA,Georgia Institute of Technology,For leadership in applications of machine learning to spoken and text language processing 
Maurice Heemels,2016,Netherlands,Eindhoven University of Technology,"For contributions to analysis and design of hybrid, networked, and event-triggered systems "
Wolfgang Heidrich,2021,Saudi Arabia,King Abdullah University of Science and Technology,For contributions to high dynamic range display and computational cameras 
Tony Heinz,2022,USA,Stanford University,"For contributions to spectroscopic techniques, nanophotonics, and optical nanomaterials "
Gernot Heiser,2016,Australia,University of New South Wales,For contributions to security and safety of operating systems 
Constance Heitmeyer,2015,United States,Naval Research Laboratory,For contributions to formal methods for modeling and analyzing software system requirements 
Abdelsalam Sumi Helal,2015,United States,University of Florida,For contributions to pervasive and mobile computing systems 
Richard Heller,2023,United States,Old Dominion University,For contributions to medical engineering for therapeutic applications 
Ahmed A-G Helmy,2019,United States,University of Southern California,For contributions to routing protocol design and mobility modeling 
Robert Henderson,2021,United States,University of Texas at Austin,For contributions to solid-state single photon imaging 
