Fellow,Year,Country,University,Citation
Shixia Liu,2021,China,Tsinghua University,For contributions to visual text analysis and visual model analysis
Tieyan Liu,2017,Singapore,Nanyang Technological University,For contributions to machine learning for web search and online advertising
Wei Liu,2023,China,Tencent / Zhejiang University,For contributions to large-scale machine learning and multimedia intelligence
Yunhao Liu,2015,China,Tsinghua University,For contributions to wireless sensor networks and systems
David Lo,2022,Singapore,Singapore Management University,For contributions to synergizing software engineering and data mining
Cristina Lopes,2019,USA,"University of California, Irvine",For contributions to ubiquitous and immersive programming
Wenjing Lou,2015,USA,Virginia Tech,For contributions to information and network security
Ahmed Louri,2011,USA,George Washington University,For contributions to optical interconnection networks for parallel computing
David Lowther,2017,Canada,McGill University,For contributions to and industrial applications of computer aided design in electromagnetics
Rongxing Lu,2021,Canada,University of New Brunswick,For contributions to security and privacy in vehicular communications
Shih-Lien Lu,2016,United States,Intel Corporation,For contributions to low-voltage microarchitecture and approximate computing
Yung-Hsiang Lu,2021,United States,Purdue University,For contributions to energy efficiency of computer systems
David Luebke,2017,United States,NVIDIA,For contributions to GPU computing and computer graphics
Robyn Lutz,2022,United States,Iowa State University,For contributions to software requirements for safety-critical systems
Joseph Lyles,2017,USA,,"For contributions in local network technology, Internet measurement, and research cyberinfrastructure"
Huadong Ma,2021,China,Beijing University of Posts and Telecommunications,For contributions to multimedia sensor networks
Kwan Liu Ma,2012,United States,"University of California, Davis",For contributions to large-scale data visualization
Wei-Ying Ma,2011,China,Tsinghua University,For contributions to multimedia information retrieval
Yi Ma,2013,United States,"University of California, Berkeley",For contributions to computer vision and pattern recognition
Jianchang Mao,2012,USA,Google,"For contributions to pattern recognition, search, content analysis, and computational advertising"
Shiwen Mao,2019,USA,Auburn University,For contributions to wireless multimedia networking
Madhav Marathe,2013,USA,University of Virginia,For contributions to development of formal models and software tools for understanding socio-technical networks
Diana Marculescu,2015,USA,University of Texas at Austin,For contributions to design and optimization of energy-aware computing systems
Radu Marculescu,2013,USA,University of Texas at Austin,For contributions to design and optimization of on-chip communication for embedded multicore systems
Erik Jan Marinissen,2011,Netherlands,IMEC,For contributions to modular testing of core-based system chips
Igor Markov,2013,USA,University of Michigan,For contributions to optimization methods in electronic design automation
Jose Martinez,2021,USA,Cornell University,For contributions to adaptable multiprocessor computer architectures
Margaret Martonosi,2010,USA,Princeton University,For contributions to power-efficient computer architecture and systems design
Larry Matthies,2010,USA,NASA Jet Propulsion Laboratory,For contributions to perception systems for autonomous navigation of unmanned vehicles
Peter Maxwell,2010,Australia,University of New South Wales,For contributions to testing of digital logic circuits
PatrickDrew Mcdaniel,2015,USA,Pennsylvania State University,For contributions to the security of mobile communications
Kathryn McKinley,2011,USA,University of Texas at Austin,For contributions to compiler technologies
Nenad Medvidovic,2016,USA,University of Southern California,For contributions to the architecture of complex software systems
Sharad Mehrotra,2021,USA,"University of California, Irvine",For contributions to the fields of data management and multimedia information retrieval
Hong Mei,2015,China,Peking University,For contributions to software architecture and component-based software engineering
Russell Meier,2018,USA,Milwaukee School of Engineering,For contributions to global on-line engineering education
Erik Meijering,2019,Netherlands,Erasmus University Medical Center,For contributions to computational methods for biological image analysis
Tommaso Melodia,2018,USA,Northeastern University,For contributions to underwater acoustic and multimedia networks
Daniel Menasce,2014,USA,George Mason University,For contributions to research and education in performance evaluation of computer systems
Abraham Mendelson,2018,Israel,Technion – Israel Institute of Technology,For contributions to power-aware architecture and value prediction for program execution
Tim Menzies,2019,United States,North Carolina State University,For contributions to software engineering for artificial intelligence
Cecilia Metra,2014,Italy,University of Bologna,For contributions to the on-line testing and fault-tolerant design of digital circuits and systems
Ethan Miller,2015,United States,"University of California, Santa Cruz",For contributions to the design of file and storage systems
Russ Miller,2012,United States,University at Buffalo,For contributions to theory and practice of parallel algorithms and architectures
Victor Miller,2010,United States,IBM Research,For contributions to elliptic curve cryptography
Dejan Milojicic,2010,United States,Hewlett Packard Labs,For contributions to distributed systems software and mobile programming abstractions
Prabhat Mishra,2021,United States,University of Florida,For contributions to system-on-chip validation and design automation of embedded systems
Sudip Misra,2022,India,Indian Institute of Technology Kharagpur,For contributions to intelligent sensing in constrained IoT environments
Joseph Mitola,2010,United States,Stevens Institute of Technology,For contribution to software-defined and cognitive radio technologies
Subhasish Mitra,2013,USA,Stanford University,For contributions to design and test of robust integrated circuits
Hiroyuki Mizuno,2022,Japan,Nagoya University,For contributions to leakage current reduction in integrated circuits
Prasant Mohapatra,2010,USA,"University of California, Davis",For contributions to the quality of service provisioning in computer networks
Mohamed Mokbel,2020,USA,University of Minnesota,For contributions to building spatially- and privacy-aware systems
Paolo Montuschi,2014,Italy,Politecnico di Torino,For contributions to the theory and applications of digital arithmetic
Jose Moreira,2021,USA,IBM Thomas J. Watson Research Center,For advances in high performance computing systems software and processor design
Katherine Morse,2021,USA,,For contributions to standardization of simulation technologies
Andreas Moshovos,2021,Canada,University of Toronto,For contributions to out-of-order processor microarchitecture and multiprocessor memory systems
Eliot Moss,2010,USA,University of Massachusetts Amherst,For contributions to transactional computing and memory management
Masato Motomura,2022,Japan,Tokyo Institute of Technology,For contributions to memory-logic integration of reconfigurable chip architecture
Frank Mueller,2016,USA,North Carolina State University,For contributions to timing analysis of real-time systems
Saibal Mukhopadhyay,2018,USA,Georgia Institute of Technology,For contributions to energy-efficient and robust computing systems design
JeanMichel Muller,2017,France,École Normale Supérieure de Lyon,For contributions to theory and applications of computer arithmetic
Vittorio Murino,2022,Italy,University of Verona,For contributions to signal processing for behavior analysis
Matt Mutka,2013,USA,Michigan State University,"For contributions to distributed computing, mobile computing and networking"
Onur Mutlu,2019,Switzerland,ETH Zurich,For contributions to computer architecture research and practice
Saeid Nahavandi,2020,Australia,Deakin University,For contributions to haptically-enabled robotic systems
Marc Najork,2020,USA,Google,For contributions to web crawling and web data processing
Thyagarajan Nandagopal,2016,USA,Rutgers University,"For contributions to wireless network optimization, RFID systems, and network architectures"
Vijaykrishnan Narayanan,2011,USA,Pennsylvania State University,For contributions to power-aware systems and estimation tools
Isaac Nassi,2022,United States,"University of California, Santa Cruz",For leadership in parallel and distributed systems and adaptive systems
Premkumar Natarajan,2023,United States,University of Southern California,"For contributions to conversational AI systems, spoken language translation, and home voice-assistant systems"
Hermann Ney,2011,Germany,RWTH Aachen University,"For contributions to statistical language modeling, statistical machine translation, and large vocabulary speech recognition"
Alexandru Nicolau,2015,United States,"University of California, Irvine",For contributions to compiler technology and electronic design automation
Konstantina Nikita,2018,Greece,National Technical University of Athens,For contributions to bioelectromagnetics and implantable antennas for medical applications
Dimitrios S. Nikolopoulos,2024,United Kingdom,Queen's University Belfast,For contributions to dynamic execution environments and multiprocessor memory management.
Shojiro Nishio,2012,Japan,Osaka University,For contributions to data and knowledge management in database systems
Sam Noh,2022,South Korea,UNIST (Ulsan National Institute of Science and Technology),For contributions to storage system software for flash and nonvolatile memory
Hiroshi Okuno,2012,Japan,Waseda University,For contributions to robot audition technology
Hidetoshi Onodera,2018,Japan,Kyoto University,For contributions to variation-aware design and analysis of integrated circuits
Alessandro Orso,2021,United States,Georgia Institute of Technology,For contributions to software testing and debugging
Ye Ouyang,2023,USA,AT&T Labs,For leadership in network intelligence and self-organizing cellular networks
M Tamer Ozsu,2011,Canada,University of Waterloo,For contributions to distributed data management and multimedia database systems
Venkata Padmanabhan,2012,India,Microsoft Research India,For contributions tonetworked and mobile computing systems
M Palaniswami,2012,Australia,University of Melbourne,"For contributions to computational intelligence, learning systems, and nonlinear modelling"
Zhigang Pan,2014,China,Nanjing University,For contributions to design for manufacturability in integrated circuits
Partha Pande,2020,United States,Washington State University,For contributions to network-on-chip architectures for manycore computing
Ai-Chun Pang,2021,Taiwan,National Taiwan University,For contributions to resource management and service provisioning for mobile edge networks
Maja Pantić,2012,United Kingdom,Imperial College London,For contribution to automatic human behavior understanding and affective computing
Panagiotis Papadimitratos,2020,Sweden,KTH Royal Institute of Technology,For contributions to wireless mobile network security and privacy
Manish Parashar,2011,United States,University of Utah,For contributions to parallel and distributed computing
Lynne Parker,2010,United States,"University of Tennessee, Knoxville",For contributions to distributed and heterogeneous multi-robot systems
Danilo Pau,2019,Italy,STMicroelectronics,For contributions to the development of memory-efficient architectures for advanced multimedia applications
Joseph Pawlowski,2018,United States,IBM,For contributions to memory system interfaces
Keshav Pingali,2010,United States,University of Texas at Austin,For contributions to compilers and parallel computing
Marc Pollefeys,2012,Switzerland,ETH Zurich,For contributions to three-dimensional computer vision
Fatih Porikli,2014,Australia,Australian National University,For contributions to computer vision and video surveillance
Balaji Prabhakar,2011,United States,Stanford University,For contributions to network theory and algorithms
Konstantinos Psounis,2018,United States,University of Southern California,For contributions to multi-hop wireless networks
Calton Pu,2016,United States,Georgia Institute of Technology,"For contributions to system software specialization, information security, and services computing"
GuoJun Qi,2022,United States,University of Central Florida,For contributions to multimedia analysis and applications
Hairong Qi,2018,United States,"University of Tennessee, Knoxville",For contributions to collaborative signal processing in sensor networks
Yi Qian,2019,United States,University of Nebraska-Lincoln,For contributions to wireless communication networks and smart grid communication architectures
Wendi Rabiner Heinzelman,2016,United States,University of Rochester,"For contributions to algorithms, protocols, and architectures for wireless sensor and mobile networks"
Padma Raghavan,2014,United States,Vanderbilt University,For contributions to robust scalable sparse solvers and energy-efficient parallel scientific computing
Anand Raghunathan,2010,United States,Purdue University,For contributions to the design of low-power and secure systems on chip
Janusz Rajski,2012,United States,Mentor Graphics (Siemens EDA),For contributions to digital VLSI circuit testing and test compression
Umakishore Ramachandran,2014,United States,Georgia Institute of Technology,For contributions to programming idioms for parallel and distributed systems and design of scalable shared memory systems
Ravi Ramamoorthi,2017,United States,"University of California, San Diego",For contributions to foundations of computer graphics and computer vision
Srinivasan Ramani,2019,India,"International Institute of Information Technology, Bangalore",For contributions to computer networks for developing countries
Mary Ellen Randall,2019,United States,Ascolta,For leadership in the development and commercialization of audio-video decoders
Valluri Rao,2012,United States,"University of California, Berkeley",For contributions to the characterization technologies for microprocessor and logic circuits
Lawrence Rauchwerger,2012,United States,Texas A&M University,"For contributions to thread-level speculation, parallelizing compilers, and parallel libraries"
Sherief Reda,2023,United States,Brown University,For contributions to energy-efficient and approximate computing
A L Narasimha Reddy,2010,United States,Texas A&M University,For contributions to multimedia storage and network support
William Regli,2017,United States,Drexel University,"For contributions to 3D search, design repositories and intelligent manufacturing"
Sorel Reisman,2022,United States,"California State University, Fullerton","For leadership in design, implementation and adoption of open education resources"
Michael Reiter,2014,United States,Duke University,For contributions to computer security and fault-tolerant distributed computing
Kui Ren,2016,United States,Zhejiang University,For contributions to security and privacy in cloud computing and wireless networks
Rasheek Rifaat,2015,Canada,University of Waterloo,For contributions to protection of industrial power systems
Miguel Raul Rodrigues,2023,United Kingdom,University College London,For contributions to multimodal data processing and foundations of reliable and secure communications
Jon Rokne,2013,Canada,University of Calgary,For contributions to computer graphics and geographic information systems
Fabio Roli,2012,Italy,University of Cagliari,For contributions to multiple classifier systems
Eric Rotenberg,2015,United States,North Carolina State University,For contributions to the microarchitecture of high-performance and reliable microprocessors
Diane Rover,2016,United States,Iowa State University,For contributions to active learning methods in engineering education
Chris Rowen,2016,United States,Stanford University,For leadership in the development of microprocessors and reduced instruction set computers
Amit Roy-Chowdhury,2019,United States,"University of California, Riverside",For contributions to video-based tracking and behavior analysis
Badrinath Roysam,2018,United States,University of Houston,For contributions to image processing algorithms for biological microscopy
Rajiv Sabherwal,2019,United States,University of Arkansas,For contributions to research on management of knowledge and information technologies
Ponnuswamy Sadayappan,2015,United States,University of Utah,For contributions to parallel programming tools for high-performance computing
Amir Said,2014,United States,Hewlett-Packard Laboratories,For contributions to compression and processing of images and videos
Valentina Salapura[2],2012,,,For contributions to the architecture and design of multiprocessor systems
Pierangela Samarati,2012,Italy,University of Milan,"For contributions to information security, data protection, and privacy"
Eugene Santos,2012,United States,Dartmouth College,For contributions to decision support systems and reasoning under uncertainty
Eunice Santos,2023,United States,Illinois Institute of Technology,For leadership in computational social networks
Jagannathan Sarangapani,2016,United States,Missouri University of Science and Technology,For contributions to nonlinear discrete-time neural network adaptive control and applications
Vivek Sarkar,2020,United States,Georgia Institute of Technology,For contributions to compiler technologies for high-performance computing
William Scherlis,2012,United States,Carnegie Mellon University,For contributions to software analysis and software engineering education
Bernt Schiele,2017,Germany,Max Planck Institute for Informatics,"For contributions to large-scale object recognition, human detection and pose estimation"
Julia Schnabel,2021,United Kingdom,King's College London,For contributions to medical image computing
Eve Schooler,2021,United States,Intel Corporation,For contributions to multimedia protocols and internet standards
Bjoern Schuller,2018,Germany,University of Augsburg,For contributions to computer audition
Michael Schulte,2017,United States,AMD,For contributions to compute architectures
Donatella Sciuto,2011,Italy,Politecnico di Milano,For contributions to embedded system design
Stanley Sclaroff,2017,United States,Boston University,"For contributions to computer vision, image retrieval, and gesture analysis"
Michael Scott,2010,United States,University of Rochester,For contributions to parallel and distributed computing
Timoleon Sellis,2010,Greece,Athena Research Center,"For contributions to database query optimization, and spatial data management"
Sanjit Seshia,2018,United States,"University of California, Berkeley",For contributions to formal methods for inductive synthesis and algorithmic verification
Andre Seznec,2013,France,INRIA Rennes,For contributions to design of branch predictors and cache memory for processor architectures
Cyrus Shahabi,2014,United States,University of Southern California,"For contributions to the fields of multimedia, geospatial and distributed databases"
Behzad Shahraray,2017,USA,AT&T Labs,For leadership in content-based processing and retrieval of multimedia information
Gaurav Sharma,2013,USA,University of Rochester,For contributions to electronic imaging and media security
Puneet Sharma,2014,USA,Hewlett Packard Labs,"For contributions to the design of scalable networking, software defined networks and energy efficiency in data centers"
Michael Shebanow,2015,USA,NVIDIA,For contributions to superscalar out-of-order processors
Heng Tao Shen,2022,Australia,University of Electronic Science and Technology of China,For contributions to multimedia content understanding and retrieval
Weiming Shen,2013,Canada,National Research Council Canada,For contributions to agent-based collaboration technologies and applications
Timothy Sherwood,2022,USA,"University of California, Santa Barbara",For contributions to computer system security and performance analysis
Weisong Shi,2016,USA,Wayne State University,For contributions to distributed systems and internet computing
S Shieh,2014,Taiwan,National Chiao Tung University,For advances in pattern-oriented intrusion detection and fault-tolerant protection
Kyuseok Shim,2019,South Korea,Seoul National University,For contributions to scalable data mining and database query processing
Toru Shimizu,2014,Japan,Osaka University,For development of integrated multi-core microprocessors with large memories
Yoshihiro Shiroishi,2015,Japan,Tohoku University,For leadership in the development of high density magnetic recording technologies and devices
Jiwu Shu,2018,China,Tsinghua University,"For contributions to dependable, high-performance storage systems architecture"
Sandeep Shukla,2014,India,Indian Institute of Technology Kanpur,For contributions to applied probablistic model checking for system design
Mei-Ling Shyu,2019,United States,University of Miami,For contributions to multimedia big data analytics and management
Neil Siegel,2011,United States,University of Southern California,For leadership in the development of the digital battlefield
Cristina Silvano,2017,Italy,Politecnico di Milano,For contributions to energy-efficient computer architectures
Richa Singh,2021,India,Indian Institute of Technology Jodhpur,For contributions to robust and secure biometrics
Pradeep Sinha,2013,India,IIIT Naya Raipur,For leadership in distributed and parallel processing systems
Ramesh Sitaraman,2019,United States,University of Massachusetts Amherst,"For contributions to content delivery, internet performance, and distributed systems"
Wan Chi Siu,2012,Hong Kong,Hong Kong Polytechnic University,For leadership in signal processing and contributions to video technologies
Malcolm Slaney,2010,United States,Stanford University,For contributions to perceptual signal processing and tomographic imaging
Morris Sloman,2011,United Kingdom,Imperial College London,For contributions to adaptive policy based management of distributed and pervasive systems
Asim Smailagic,2010,United States,Carnegie Mellon University,"For contributions to wearable, pervasive, and context aware computing"
Carol Smidts,2017,United States,Ohio State University,For contributions to reliability analysis of high-assurance systems
Evgenia Smirni,2020,United States,College of William & Mary,For contributions to modeling and performance forecasting of complex systems
Sang-Hyuk Son,2013,United States,University of Virginia,For contributions to data management and scheduling in real-time systems
Houbing Song,2023,United States,"University of Maryland, Baltimore County",For contributions to big data analytics and integration of AI with Internet of Things
Matteo Sonza Reorda,2016,Italy,Politecnico di Torino,For design of test algorithms for reliable circuits and system
John Spargo,2013,United States,,For leadership in superconducting electronics and related technologies
Aravind Srinivasan,2010,United States,"University of Maryland, College Park",For contributions to randomized algorithms and probabilistic methods
Ram Duvvuru Sriram,2017,United States,National Institute of Standards and Technology,For leadership in developing computational tools for healthcare enterprises
Ankur Srivastava,2023,United States,"University of Maryland, College Park",For contributions to chip hardware security
Anuj Srivastava,2017,United States,Florida State University,"For contributions to differential geometric and statistical techniques in the analysis of shapes, curves and surfaces"
Ashok Narain Srivastava,2014,United States,"University of California, Santa Cruz",For leadership and contributions in data mining to enhance the safety of aerospace systems
Guy Steele,2011,United States,Sun Microsystems,"For contributions to the definition, design and standardization of computer languages"
Salvatore Stolfo,2018,United States,Columbia University,For contributions to machine learning-based computer security
Heinrich Stuttgen,2010,Germany,Technische Universität München,For leadership in industrial research
Zhendong Su,2023,United States,"University of California, Davis",For contributions to automated software testing and analysis
Suresh Subramaniam,2015,United States,George Washington University,"For contributions to optical network architectures, algorithms, and performance modeling"
S Sudarshan,2022,India,Indian Institute of Technology Bombay,For contributions to query processing and optimization in databases
Gookwon Suh,2020,South Korea,KAIST,For contributions to the development of secure hardware circuits and processors
Rahul Sukthankar,2018,United States,Carnegie Mellon University,For contributions to video understanding
Qibin Sun,2011,China,Chinese Academy of Sciences,For contributions to multimedia security
Xian He Sun,2012,United States,Illinois Institute of Technology,For contributions to memory-bounded performance metrics and scalable parallel computing
W Sung,2015,South Korea,Seoul National University,For contributions to real-time signal processing systems
Willy Susilo,2021,Australia,University of Wollongong,For contributions to cloud computing security
Sabine Susstrunk,2017,Switzerland,École Polytechnique Fédérale de Lausanne,"For contributions to computational imaging, color image processing, and color computer vision"
Tanveer Syeda-Mahmood,2011,United States,IBM Research,For contributions to content-based image and video indexing and retrieval
Ke Tang,2023,China,Southern University of Science and Technology,For contributions to scalable evolutionary algorithms for large-scale optimization
Valerie Taylor,2013,USA,Texas A&M University,For contributions to performance enhancement of parallel computing applications
Mark Tehranipoor,2018,USA,University of Florida,For contributions to integrated circuits security and trust
Juergen Teich,2018,Germany,Friedrich-Alexander University Erlangen-Nürnberg,For contributions to hardware/software co-design for embedded systems
My Thai,2021,USA,University of Florida,"For contributions to modeling, design, and optimization of networked systems"
Rajeev Thakur,2022,USA,Argonne National Laboratory,For contributions to high-performance interfaces for scalable computing systems
Jie Tian,2010,China,Chinese Academy of Sciences,"For contributions to medical image processing, pattern recognition, and molecular imaging"
Qi Tian,2016,China,University of Science and Technology of China,For contributions to multimedia information retrieval
Yonghong Tian,2022,China,Peking University,For contributions to knowledge-based visual data analysis
Stephen Trimberger,2012,USA,Xilinx (now part of AMD),"For contributions to circuits, architectures and software technology for fleld-programmable gate arrays"
Vincent Tseng,2021,Taiwan,National Cheng Kung University,For contributions to utility pattern mining and biomedical applications
John Tsotsos,2018,Canada,York University,For contributions to active vision and computational models of visual attention
Matthew Turk,2013,United States,"University of California, Santa Barbara",For contributions to computer vision and perceptual interfaces
Jerzy Tyszer,2013,Poland,Poznan University of Technology,For contributions to digital VLSI circuit testing and test compression
Nian-Feng Tzeng,2010,United States,University of Louisiana at Lafayette,For contributions to parallel computer systems and scalable routers
Kunio Uchiyama,2011,Japan,University of Tokyo,For contributions to power-efficient microprocessors
Shambhu Upadhyaya,2022,United States,University at Buffalo,For contributions to the mitigation of insider attacks and malware in cyberspace
Ramasamy Uthurusamy,2013,United States,General Motors Research and Development Center,For contributions to data mining and artificial intelligence
Jaideep Vaidya,2021,United States,Rutgers University,For contributions to privacy protection in data analytics and access control management
Wil Van der Aalst,2021,Netherlands,Eindhoven University of Technology,For contributions to process mining and workflow processes
Prab Varma,2011,United States,"University of California, Santa Cruz",For contributions to system-on-chip test technology
Peter Varman,2020,United States,Rice University,For contributions to input/output scheduling algorithms for storage systems
Amitabh Varshney,2010,United States,"University of Maryland, College Park",For contributions to scientific visualization and computer graphics
Nuno Vasconcelos,2017,United States,"University of California, San Diego","For contributions to computer vision, image processing, and multimedia"
Mayank Vatsa,2022,India,Indian Institute of Technology Jodhpur,For contributions to secure biometric recognition
Ganesh Venayagamoorthy,2021,United States,Missouri University of Science and Technology,For contributions to the application of artificial intelligence to power systems
K Venugopal,2016,India,Bangalore University,For contributions to computer science and electrical engineering education
Ingrid Verbauwhede,2013,Belgium,KU Leuven,For contributions to design of secure integrated circuits and systems
Jeffrey Vetter,2017,United States,Oak Ridge National Laboratory,For contributions to high performance computing
B V Vijaya Kumar,2010,United States,Carnegie Mellon University,For contributions to biometric recognition methods
Sarma Bala Vrudhula,2016,United States,Arizona State University,For contributions to low-power and energy-efficient design of digital circuits and systems
Valeriy Vyatkin,2022,New Zealand,Auckland University of Technology,For contributions to software development methods and practices in industrial automation
Dongmei Wang,2022,China,Tsinghua University,For contributions to biomedical informatics and AI
Honggang Wang,2021,USA,University of Massachusetts Dartmouth,For contributions to low power wireless for IoT and multimedia applications
Jianping Wang,2023,Hong Kong,City University of Hong Kong,For contributions to resiliency of complex systems
Jianyong Wang,2017,China,Tsinghua University,For development of efficient data mining algorithms
Jingdong Wang,2022,China,Peking University,For contributions to visual content understanding and retrieval
Jun Wang,2022,Hong Kong,City University of Hong Kong,For contributions to low power disk storage system design
Li-C Wang,2018,USA,"University of California, Santa Barbara",For contributions to statistical timing analysis for integrated circuits
Liang Wang,2019,China,Chinese Academy of Sciences,For contributions to video-based human identification and motion analysis
Wenping Wang,2017,Hong Kong,The University of Hong Kong,For contributions to computer graphics and solid modeling
Xianbin Wang,2017,Canada,Western University,For contributions to OFDM systems and distributed transmission technologies
XiaoFeng Wang,2019,USA,Indiana University Bloomington,For contributions to system security and genomic privacy
Xiaorui Wang,2021,USA,The Ohio State University,For contributions to power management of data center servers and embedded systems
Yingxu Wang,2021,Canada,University of Calgary,For contributions to real-time autonomous systems
Simon Warfield,2019,USA,Harvard Medical School,For contributions to medical imaging
David Weiss,2015,USA,The Pennsylvania State University,For contributions to software measurement and product line engineering
Mark Allen Weiss,2018,USA,Florida International University,For advancements in computer science education
Stephen Welby,2018,USA,Cooper Union,For leadership in defense and aerospace systems engineering
Gregory Welch,2022,USA,University of Central Florida,For contributions to tracking methods in augmented reality applications
Jiangtao Wen,2012,China,Tsinghua University,For contributions to multimedia communication technology and standards
Xiaoqing Wen,2012,Japan,Kyushu Institute of Technology,For contributions to testing of integrated circuits
Ross Whitaker,2014,USA,University of Utah,"For contributions to image and geometry processing, visualization, and medical image analysis"
J Turner Whitted,2019,USA,University of North Carolina at Chapel Hill,For contributions to computer graphics
Alexander Wolf,2011,USA,"University of California, Santa Cruz",For contributions to software architecture
Tilman Wolf,2023,USA,University of Massachusetts Amherst,For contributions to design of network processors and in-network processing services
Andrew Wolfe,2022,USA,Princeton University,For contributions in hardware code compression of embedded software power consumption analysis and optimization
Rebecca Wright,2018,USA,"Barnard College, Columbia University",For contributions to applied cryptography and privacy
Cathy Wu,2022,USA,Massachusetts Institute of Technology,For contributions to computational biology and data science
Dongrui Wu,2023,China,Huazhong University of Science and Technology,For contributions to fuzzy logic and its applications to controls and decision-making
Hongyi Wu,2020,USA,University of Louisiana at Lafayette,For contributions to resilient mobile computing systems
Hsiao-Chun Wu,2015,United States,Louisiana State University,For contributions to digital video broadcasting and wireless systems
Xindong Wu,2011,United States,University of Louisiana at Lafayette,For contributions to artificial intelligence applications in power systems
Yongwei Wu,2023,China,Tsinghua University,For contributions to high-performance data storage and data-intensive computing systems
Yang Xiang,2020,Australia,Swinburne University of Technology,For contributions to network and system security
Jiang Xie,2020,United States,University of North Carolina at Charlotte,For contributions to mobility and resource management of wireless networks
Tao Xie,2018,United States,Peking University,For contributions to software testing and analytics
Xing Xie,2022,China,Microsoft Research Asia,For contributions to spatial data mining and recommendation systems
Yuan Xie,2015,United States,"University of California, Santa Barbara",For contributions to design automation and architecture of three-dimensional integrated circuits
Li Xiong,2022,United States,Emory University,For contributions to privacy preserving and secure data sharing
ChengZhong Xu,2016,China,University of Macau,For leadership in resource management for parallel and distributed systems
Li Xu,2016,China,Tsinghua University,For contributions to theory and applications of enterprise information systems
Jingling Xue,2023,Australia,University of New South Wales,For contributions to compiler optimization and program analysis
Alexandre Yakovlev,2017,United Kingdom,Newcastle University,For contributions to theory and design of asynchronous circuits [3]
Hirosuke Yamamoto,2011,Japan,The University of Tokyo,For contributions to source coding and information-theoretic secure coding
Shumpei Yamazaki,2010,Japan,The University of Tokyo,"For contributions to, and leadership in the industrialization of non-volatile memory and thin film transistor technologies"
Guang-Zhong Yang,2011,United Kingdom,Imperial College London,For contributions to medical imaging and robotic surgery
Jie Yang,2013,China,Shanghai Jiao Tong University,For contributions to multimodal human-computer interaction
Laurence Tianruo Yang,2020,Canada,St. Francis Xavier University,For contributions to modeling and design for cyber-physical-social systems
Ming-Hsuan Yang,2019,United States,"University of California, Merced",For contributions to object tracking and face recognition
Qing Yang,2010,United States,University of Rhode Island,For contributions to computer memory and storage systems
Xiaokang Yang,2019,China,Shanghai Jiao Tong University,For contributions to perceptual modeling and processing of visual signals
Halim Yanikomeroglu,2017,Canada,Carleton University,For contributions to wireless access architectures in cellular networks
Hiroto Yasuura,2019,Japan,Kyushu University,For contributions to energy-efficiency and dependability of Very Large Scale Integration designs
Jieping Ye,2020,USA,University of Michigan,For contributions to the methodology and application of machine learning and data mining
Jiguo Yu,2022,China,Qufu Normal University,For contributions to data storage and processing in cloud and social environments
Jingyi Yu,2021,China,ShanghaiTech University,"For contributions to theoretical analysis, algorithms and systems for computational photography and computer vision"
Shui Yu,2023,Australia,University of Technology Sydney,For contributions to cyber security and privacy
Moti Yung,2015,USA,Columbia University,For contributions to cryptography
Franco Zambonelli,2014,Italy,University of Modena and Reggio Emilia,For contributions to software engineering for self-adaptive and self-organizing systems
Daniel Zeng,2016,USA,University of Arizona,For contributions to collaborative computing with applications to security informatics
Daqing Zhang,2019,France,Télécom SudParis,For contributions to context-aware mobile and pervasive systems
Junshan Zhang,2012,United States,Arizona State University,For contributions to cross-layer optimization of wireless networks
Lei Zhang,2020,China,Tongji University,For contributions to large-scale visual recognition and multimedia information retrieval
Liangjie Zhang,2011,China,Huawei,For contributions to service-oriented technologies and applications
Mengjie Zhang,2019,New Zealand,Victoria University of Wellington,For contributions to evolutionary learning and optimization methodologies
Tong Zhang,2020,United States,Rensselaer Polytechnic Institute,For contributions to system design and VLSI implementation for data storage
Tong Zhang,2020,United States,Rensselaer Polytechnic Institute,For contributions to machine learning algorithms
Yan Zhang,2020,Norway,University of Oslo,For contributions to resource management in wireless networks
Zhili Zhang,2012,United States,University of Minnesota,For contributions to internet quality-of-service theory and applications
Zhongfei Zhang,2020,United States,"Binghamton University, SUNY",For contributions to multimodal data content understanding and mining
Lin Zhong,2019,United States,Yale University,For contributions to the development of energy-efficient driver circuits for organic light-emitting diodes
Gang Zhou,2023,United States,College of William and Mary,For contributions to sensor networks and low-power wireless networks
Jingren Zhou,2019,China,Alibaba Group,For contributions to cloud computing and query processing
Xiaofang Zhou,2018,Australia,The University of Queensland,For advancements in database query processing
Zhi-Hua Zhou,2013,China,Nanjing University,For contributions to learning systems in data mining and pattern recognition
Ce Zhu,2017,China,University of Electronic Science and Technology of China,For contributions to video coding and communications
Haojin Zhu,2023,China,Shanghai Jiao Tong University,For contributions to Vehicular Networks and Internet-of-Things Security
Wenwu Zhu,2010,China,Tsinghua University,For contributions to video communications over the internet and wireless
Xingquan Zhu,2023,United States,Florida Atlantic University,For contributions to data mining for big data analytics and network representation learning
Thomas Zimmermann,2021,United States,Microsoft Research,"For contributions to data science in software engineering, research and practice"
Chengqing Zong,2023,China,Chinese Academy of Sciences,For contributions to machine translation and natural language processing
Michael Zyda,2019,United States,University of Southern California,For contributions to game design and networking
